x,u1,u2,u1_аналит,u2_аналит,Ошибка_u1,Ошибка_u2
0.000000,7.000000,13.000000,7.000000,13.000000,0.000000e+00,0.000000e+00
0.005000,9.499500,10.499500,9.979286,10.019714,4.797861e-01,4.797862e-01
0.010000,9.915667,10.082333,9.998864,9.999136,8.319711e-02,8.319716e-02
0.015000,9.984611,10.012389,9.998499,9.998501,1.388793e-02,1.388801e-02
0.020000,9.995685,10.000315,9.998000,9.998000,2.314759e-03,2.314859e-03
0.025000,9.997115,9.997886,9.997500,9.997500,3.857399e-04,3.858649e-04
0.030000,9.996936,9.997065,9.997000,9.997000,6.422544e-05,6.437539e-05
0.035000,9.996490,9.996511,9.996501,9.996501,1.062927e-05,1.080420e-05
0.040000,9.995999,9.996003,9.996001,9.996001,1.686166e-06,1.886079e-06
0.045000,9.995501,9.995501,9.995501,9.995501,1.852415e-07,4.101327e-07
0.050000,9.995001,9.995001,9.995001,9.995001,7.531883e-08,1.745479e-07
0.055000,9.994502,9.994502,9.994502,9.994502,1.291507e-07,1.456889e-07
0.060000,9.994002,9.994002,9.994002,9.994002,1.485268e-07,1.512832e-07
0.065000,9.993502,9.993502,9.993502,9.993502,1.621593e-07,1.626187e-07
0.070000,9.993003,9.993003,9.993002,9.993002,1.748334e-07,1.749100e-07
0.075000,9.992503,9.992503,9.992503,9.992503,1.873468e-07,1.873596e-07
0.080000,9.992003,9.992003,9.992003,9.992003,1.998323e-07,1.998345e-07
0.085000,9.991504,9.991504,9.991504,9.991504,2.123122e-07,2.123125e-07
0.090000,9.991004,9.991004,9.991004,9.991004,2.247901e-07,2.247901e-07
0.095000,9.990505,9.990505,9.990505,9.990505,2.372666e-07,2.372666e-07
0.100000,9.990005,9.990005,9.990005,9.990005,2.497418e-07,2.497418e-07
0.105000,9.989506,9.989506,9.989506,9.989506,2.622158e-07,2.622158e-07
0.110000,9.989006,9.989006,9.989006,9.989006,2.746885e-07,2.746885e-07
0.115000,9.988507,9.988507,9.988507,9.988507,2.871600e-07,2.871600e-07
0.120000,9.988007,9.988007,9.988007,9.988007,2.996302e-07,2.996302e-07
0.125000,9.987508,9.987508,9.987508,9.987508,3.120992e-07,3.120992e-07
0.130000,9.987009,9.987009,9.987008,9.987008,3.245669e-07,3.245669e-07
0.135000,9.986509,9.986509,9.986509,9.986509,3.370334e-07,3.370334e-07
0.140000,9.986010,9.986010,9.986010,9.986010,3.494987e-07,3.494987e-07
0.145000,9.985511,9.985511,9.985511,9.985511,3.619627e-07,3.619627e-07
